"","nobs","nsim","rho","sel.cri","lm","heck.noinst","heck.inst"
"40",8200,10,-0.9,0,-0.25708794717888,-0.0341720162357997,-0.0254042777916019
"41",500,11,-0.9,0,-0.250269088185931,-0.0281953573982537,-0.00782720313295593
"42",1100,11,-0.9,0,-0.255906096236366,-0.0784967368582432,-0.0184298510630371
"43",3000,11,-0.9,0,-0.267885175935606,-0.0541489583654498,-0.0374172873434674
"44",8200,11,-0.9,0,-0.239335527354412,0.00183753422209443,0.00237655466976161
"45",500,12,-0.9,0,-0.22676723815041,0.0881564968574662,0.0956208882162215
"46",1100,12,-0.9,0,-0.321429990066237,-0.124755176089376,-0.0254127732303593
"47",3000,12,-0.9,0,-0.256571456058949,0.00440707440074584,-0.0185518320078207
"48",8200,12,-0.9,0,-0.230997207227723,0.0102573443092064,0.00656892438723577
"49",500,13,-0.9,0,-0.29364338921144,0.0282795149713537,-0.0109550460966702
"50",1100,13,-0.9,0,-0.273609418334717,-0.385193697447839,0.0265456062087177
"51",3000,13,-0.9,0,-0.275123034695974,-0.0576611343702186,-0.0495965600639728
"52",8200,13,-0.9,0,-0.263812552778179,-0.0501994216785653,-0.0223656329573273
"53",500,14,-0.9,0,-0.217545316686901,-0.244483936586281,0.0834497711205655
"54",1100,14,-0.9,0,-0.225400711636508,-0.00250125738594187,0.0276157151680887
"55",3000,14,-0.9,0,-0.21278404704225,-0.00281107760058263,-0.00672671794672774
"56",8200,14,-0.9,0,-0.225131559675144,-0.00214901444904891,-0.00934363955478423
"57",500,15,-0.9,0,-0.288036799124791,-0.0970738546283401,-0.023146703898722
"58",1100,15,-0.9,0,-0.260674227925665,-0.075516572670306,-0.00686235833264726
"59",3000,15,-0.9,0,-0.279370107797619,-0.0715066897315009,-0.0693570996606613
"60",8200,15,-0.9,0,-0.223317484553767,0.0230451061168391,0.0177943420291653
"61",500,16,-0.9,0,-0.243324327643912,0.0144679866530963,0.00701344668230663
"62",1100,16,-0.9,0,-0.223965235960081,0.420227882159242,-0.0594013534334321
"63",3000,16,-0.9,0,-0.235834805052631,-0.00132157357175622,-0.00133521837892947
"64",8200,16,-0.9,0,-0.240476583092062,0.00367637974136259,0.00421662846059268
"65",500,17,-0.9,0,-0.30845042122257,-1.00762916127441,-0.112107362238866
"66",1100,17,-0.9,0,-0.257772605615466,-0.361151910256622,0.00526891365585325
"67",3000,17,-0.9,0,-0.216364069606309,0.00921638295499472,-0.0066072819006493
"68",8200,17,-0.9,0,-0.240194004234604,-0.00204155911147541,-0.00589583539021021
"69",500,18,-0.9,0,-0.217173962550064,0.0135617530773542,0.00322672497024068
"70",1100,18,-0.9,0,-0.232075526405582,-0.279464270020137,-0.00592445770641825
"71",3000,18,-0.9,0,-0.235715732312379,-0.280012650728284,-0.0112434789755019
"72",8200,18,-0.9,0,-0.229173479763705,-0.0189528420760313,-0.00168286833950371
"73",500,19,-0.9,0,-0.256587987736472,-0.0271331713581775,-0.0619533888584728
"74",1100,19,-0.9,0,-0.263945649889573,-0.0604385781355296,-0.0414394092945767
"75",3000,19,-0.9,0,-0.241381956548511,-0.00467660781812274,0.00934307227013731
"76",8200,19,-0.9,0,-0.231627009824013,0.00188332541936354,-0.00231596536911449
"77",500,20,-0.9,0,-0.198577886099692,-0.245163564788118,-0.0240025049426422
"78",1100,20,-0.9,0,-0.225633976732148,0.0590316872435914,0.0497234599928107
"79",3000,20,-0.9,0,-0.225535840134857,0.026787478630006,0.0244085281759787
"80",8200,20,-0.9,0,-0.225766445575349,0.0103990927830111,3.26331266136126e-05
"81",500,21,-0.9,0,-0.212903412499613,-0.260745409296146,0.0373052559921736
"82",1100,21,-0.9,0,-0.211011106553138,0.636736943470894,0.0214357177583535
"83",3000,21,-0.9,0,-0.233489293562033,0.0139143160197011,0.0162220852415214
"84",8200,21,-0.9,0,-0.222396770044428,0.0154100610008816,0.0179324446343685
"85",500,22,-0.9,0,-0.242065377695714,-0.0520176201039112,0.0161995432868891
"86",1100,22,-0.9,0,-0.219963947316084,0.0125128398567238,-0.00129449896912648
"87",3000,22,-0.9,0,-0.2547697045562,-0.0346558615402905,-0.0217421927676038
