"","nobs","nsim","rho","sel.cri","lm","heck.noinst","heck.inst"
"67",100,12,-0.9,0,-0.143179957603364,0.0398467188362006,0.0789141216146487
"68",200,12,-0.9,0,-0.325112105917173,0.00955337115015631,-0.0870209315938024
"69",500,12,-0.9,0,-0.243245350891087,0.00729251789108076,-0.0220788473467587
"70",1100,12,-0.9,0,-0.262837571046864,0.0632853404305829,0.0250165915546259
"71",3000,12,-0.9,0,-0.263955080390327,-0.0731133079634816,-0.0310950546722448
"72",8200,12,-0.9,0,-0.219596294198343,0.0131810310306462,-0.00273982630163294
"73",100,13,-0.9,0,-0.332579383654464,1.11015379117355,0.0225031168449181
"74",200,13,-0.9,0,-0.288309161967487,-0.198432608132713,0.0191557697559352
"75",500,13,-0.9,0,-0.171490420372054,0.12142684093581,-0.00765617602290503
"76",1100,13,-0.9,0,-0.312817053523975,-0.538687964806942,-0.0265441164093696
"77",3000,13,-0.9,0,-0.249017386419081,-0.0776923451472312,-0.0372597297009862
"78",8200,13,-0.9,0,-0.212456754966976,0.0163866169329061,-0.00188819959862963
"79",100,14,-0.9,0,-0.170324194595759,0.117820052694404,0.12585421828257
"80",200,14,-0.9,0,-0.214062251592275,-0.477838137520377,0.0195658189497683
"81",500,14,-0.9,0,-0.287065221512215,-0.571338527341085,0.0165888223725845
"82",1100,14,-0.9,0,-0.169656631859818,0.16097909340958,0.0924721378662479
"83",3000,14,-0.9,0,-0.220969192683195,-0.0187646288960656,-0.0234051467075208
"84",8200,14,-0.9,0,-0.225886440042057,0.0023626845503899,-0.0127783886783803
"85",100,15,-0.9,0,-0.306713926543296,-0.0333807326810285,0.0500613603884477
"86",200,15,-0.9,0,-0.0571133881187559,0.0936033991147323,0.185214538113964
"87",500,15,-0.9,0,-0.106991575403501,0.105429885597577,0.1205067199025
"88",1100,15,-0.9,0,-0.268773666031967,-0.520580066650008,-0.0597225303356014
"89",3000,15,-0.9,0,-0.180466942177713,0.0202873877558267,0.0098856734781434
"90",8200,15,-0.9,0,-0.208537983199803,0.0076768080334515,0.00729994723358263
"91",100,16,-0.9,0,-0.0747418784626913,-1.81196645315122,0.137270698266814
"92",200,16,-0.9,0,-0.0622693179180528,0.307607367313605,0.184891890887312
"93",500,16,-0.9,0,-0.254038789812557,-0.0910259478310413,-0.0362179779299964
"94",1100,16,-0.9,0,-0.181498456340163,0.00941783236996585,0.00920005514686872
"95",3000,16,-0.9,0,-0.234816724904875,0.0412062522381003,-0.0150784209394615
"96",8200,16,-0.9,0,-0.217810621779587,-0.0889772522026616,-0.0154912198924234
"97",100,17,-0.9,0,-0.209680993001529,-1.07158101656458,0.0725668376696833
"98",200,17,-0.9,0,-0.226503653797983,-0.529685833389343,0.0607930956519909
"99",500,17,-0.9,0,-0.12646308323422,-0.338913913604833,0.048838256030947
"100",1100,17,-0.9,0,-0.239271495091116,0.00584636285482643,-0.034859982651491
"101",3000,17,-0.9,0,-0.227739908716461,-0.414201995950048,0.0142497599007438
"102",8200,17,-0.9,0,-0.21320049849267,0.0262085091825213,0.0163128368881094
"103",100,18,-0.9,0,-0.305493921278218,-0.111813490197235,-0.103083504109694
"104",200,18,-0.9,0,-0.231408383100995,-0.213192928599767,-0.109314085989175
"105",500,18,-0.9,0,-0.220697077083231,-0.207613903749855,0.0890078659821412
"106",1100,18,-0.9,0,-0.127813079468542,0.0496642631330693,0.102677253020131
"107",3000,18,-0.9,0,-0.217541278062022,-0.0766960521449866,-0.000834476021045805
"108",8200,18,-0.9,0,-0.230337981827305,0.0082786497163112,-0.0202722323688312
"109",100,19,-0.9,0,0.0399796034389235,1.14188474460783,0.188711322786208
"110",200,19,-0.9,0,-0.121026167188288,0.759671670250229,0.0267905806498241
"111",500,19,-0.9,0,-0.35110505171203,0.0424943901578896,-0.141946961935313
"112",1100,19,-0.9,0,-0.254356003705727,-0.0972071931287627,-0.0602220197971699
"113",3000,19,-0.9,0,-0.221924604423452,0.0136617034521642,0.0195135107554179
"114",8200,19,-0.9,0,-0.229229101272399,0.0145260812218069,-0.00391327356856874
"115",100,20,-0.9,0,-0.242643342510317,1.07740390537537,0.0731191627834142
"116",200,20,-0.9,0,-0.272496107862649,-0.162828845757904,0.014618809315375
"117",500,20,-0.9,0,-0.255818532270901,-0.390724065066431,0.0271963011721883
"118",1100,20,-0.9,0,-0.230685823546594,0.0451506960693866,-0.00747165403759242
"119",3000,20,-0.9,0,-0.193173983426208,0.0232774058431426,0.0294443053281226
"120",8200,20,-0.9,0,-0.216429330059179,-0.0144172291308589,-0.00154830168450604
"121",100,21,-0.9,0,-0.175044389217145,-0.61018455131025,-0.012561969017448
"122",200,21,-0.9,0,-0.254986111959299,-0.235132721705319,-0.0441420605457554
"123",500,21,-0.9,0,-0.19659424470741,0.0678928428163357,0.0725270411110495
"124",1100,21,-0.9,0,-0.16628340591894,0.0542877847361827,0.0502378461058557
"125",3000,21,-0.9,0,-0.247790698994028,-0.0296685676716195,-0.0341547073617894
"126",8200,21,-0.9,0,-0.228531840198491,-0.0365972906254239,-0.0206850205852397
"127",100,22,-0.9,0,-0.459376559127669,0.432512570241587,-0.125576870722582
"128",200,22,-0.9,0,-0.279425732797137,-0.0802880374549522,-0.0731553496715351
"129",500,22,-0.9,0,-0.240601577283669,-0.430711080807272,0.00522888048745007
"130",1100,22,-0.9,0,-0.243680636615879,0.0156869109030184,0.00116357448064752
"131",3000,22,-0.9,0,-0.222100692486607,0.000556426769856344,-0.0193480576168152
"132",8200,22,-0.9,0,-0.188588970360466,0.0108310063235637,0.0410500808349403
"133",100,23,-0.9,0,-0.438782304352904,0.159516303188394,0.0589446618594784
"134",200,23,-0.9,0,-0.201641301952736,-0.125593282191853,0.0426360217503507
"135",500,23,-0.9,0,-0.096453311481731,0.28650015223426,0.0791096846538053
"136",1100,23,-0.9,0,-0.218927781325998,0.121171215854103,0.0264019702907918
"137",3000,23,-0.9,0,-0.221925869356475,-0.0486635019465839,-0.0248770181274749
"138",8200,23,-0.9,0,-0.230574893431766,-0.0249735546389975,-0.0280908612017475
"139",100,24,-0.9,0,-0.181902926389936,-0.0575992008819536,-0.0369717323020073
"140",200,24,-0.9,0,-0.206991333948772,0.0990566105597153,-0.00713758001894338
"141",500,24,-0.9,0,-0.144531549922263,-0.100991193180953,0.0529573266140999
"142",1100,24,-0.9,0,-0.186583383897972,-0.0329663717438875,0.037035244544728
"143",3000,24,-0.9,0,-0.254395109704168,-0.0447090175787892,-0.0369400115304881
"144",8200,24,-0.9,0,-0.211557812485025,-0.0439856287019331,-0.00600716525262746
"145",100,25,-0.9,0,-0.396792097174727,-0.45862775479462,-0.0573318810000533
"146",200,25,-0.9,0,-0.160516983597684,0.111497033742589,-0.045390453154457
"147",500,25,-0.9,0,-0.14265251239093,-0.026022996271641,0.121999813726007
"148",1100,25,-0.9,0,-0.229838394024457,0.0416894805888857,-0.0110805476867178
"149",3000,25,-0.9,0,-0.230057142671872,-0.145644961321948,-0.0106438265772171
"150",8200,25,-0.9,0,-0.188614905036827,-0.0159501295236045,0.0316584979295493
"151",100,26,-0.9,0,-0.364249915735358,-0.289298115505359,-0.0965613941509802
"152",200,26,-0.9,0,-0.172769923847925,-0.12650763706505,-0.00252702515549208
"153",500,26,-0.9,0,-0.199314698520524,-0.280088471628676,0.0796125320066654
"154",1100,26,-0.9,0,-0.209346440196575,0.0818134190212902,0.0212400959961661
"155",3000,26,-0.9,0,-0.261681555633644,-0.11924009917783,-0.0604041345923498
"156",8200,26,-0.9,0,-0.200762800045864,0.0576444247684602,0.0127655461951985
"157",100,27,-0.9,0,-0.148437976286132,-0.187691249314566,0.111528010263681
"158",200,27,-0.9,0,0.0609032788116257,1.40272910329766,0.294110329352453
"159",500,27,-0.9,0,-0.313517484512138,0.00635199386581498,-0.129392791949328
"160",1100,27,-0.9,0,-0.219964291259424,-0.0207779039612285,-0.00474096487408626
"161",3000,27,-0.9,0,-0.243367618896656,0.0388574638916501,-0.0212634670003436
"162",8200,27,-0.9,0,-0.235387975993576,-0.0322646859516903,-0.0142500120086919
"163",100,28,-0.9,0,-0.186442433020147,-0.0484775673202603,0.0793260324223894
"164",200,28,-0.9,0,-0.0864937246743991,0.310244551814882,0.100172920603206
"165",500,28,-0.9,0,-0.259619195369445,-0.0496587749953693,-0.0611781555967881
"166",1100,28,-0.9,0,-0.205749903045301,0.132717513422423,0.0248046813048823
"167",3000,28,-0.9,0,-0.190729573970718,0.0848639303235939,0.0260754942586019
"168",8200,28,-0.9,0,-0.197798093740715,0.0519817541424945,0.0332325199522474
"169",100,29,-0.9,0,-0.347139985593727,-0.307877128170427,-0.228381254092877
"170",200,29,-0.9,0,-0.277776005807053,0.0843092972005086,-0.00449845655676895
"171",500,29,-0.9,0,-0.163434443839354,-0.358851662348545,-0.0277569377472537
